id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
0,benrenshoucui,1.1,身份确认,嗯不是我是他他照顾,嗯不是我是他照顾,2.2,关联人,no
1,benrenshoucui,1.1,身份确认,我认识,我认识,2.2,关联人,no
2,benrenshoucui,1.1,身份确认,那个王先生在手术室正在手术那个他的手机现在在我手里,那个王先生在手术室正在手术那个他的手机现在在我手里,2.2,关联人,no
3,benrenshoucui,1.1,身份确认,你找他干嘛呀,你找他干嘛呀,2.2,关联人,no
4,GHSC,1.1,身份确认,我肯定认识啊他是哪个银行卡,我肯定认识啊他是哪个银行卡,2.2,关联人,no
5,GHSC,1.1,身份确认,我是他大哥了有什么事你说我,我是他大哥了有什么事你说我,2.2,关联人,no
6,GHSC,1.1,身份确认,我也认识,我也认识,2.2,关联人,no
7,benrenshoucui,1.1,身份确认,认识他让他但是我我们现在,认识他让他但是我我们现在,2.2,关联人,no
8,GHSC,1.1,身份确认,哦我是她老公你出来,哦我是她老公你出来,2.2,关联人,no
9,GHSC,1.1,身份确认,好的我老婆你什么事你说啊,好的我老婆你什么事你说啊,2.2,关联人,no
10,GHSC,1.1,身份确认,啊认识的是什么,啊认识的是什么,2.2,关联人,no
11,GHSC,1.1,身份确认,永认识你说怎么了,永认识你说怎么了,2.2,关联人,no
12,df,1.1,身份确认,啊我是她老公我现在账户,啊我是她老公我现在账户,2.2,关联人,no
13,benrenshoucui,1.1,身份确认,哎我是她老公,哎我是她老公,2.2,关联人,no
14,GHSC,1.1,身份确认,我妈在楼上,我妈在楼上,2.2,关联人,no
15,RESC,1.1,身份确认,啊不是不是我说他母亲怎么了,啊不是我说他母亲怎么了,2.2,关联人,no
16,GHSC,1.1,身份确认,那他是我们老板,那他是我们老板,2.2,关联人,no
17,df,1.1,身份确认,他现在不在有什么事吗,他现在不在有什么事吗,2.2,关联人,no
18,GHSC,1.1,身份确认,认识我这个媳妇儿,认识我这个媳妇儿,2.2,关联人,no
19,GHSC,1.1,身份确认,我认识他他手机放在门面的里他现在不在这里,我认识他手机放在门面的里他现在不在这里,2.2,关联人,no
20,GHSC,1.1,身份确认,认识你说有什么,认识你说有什么,2.2,关联人,no
21,RESC,1.1,身份确认,我会尽快转告我的老板的大概,我会尽快转告我的老板的大概,2.2,关联人,no
22,benrenshoucui,1.1,身份确认,她知道,她知道,2.2,关联人,no
23,benrenshoucui,1.1,身份确认,哎我老公,哎我老公,2.2,关联人,no
24,GHSC,1.1,身份确认,可能认识,可能认识,2.2,关联人,no
25,GHSC,1.1,身份确认,我是老婆,我是老婆,2.2,关联人,no
26,GHSC,1.1,身份确认,他现在忙不在有什么事我跟他说,他现在忙不在有什么事我跟他说,2.2,关联人,no
27,benrenshoucui,1.1,身份确认,认识啊我的老公,认识啊我的老公,2.2,关联人,no
