id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
0,benrenshoucui,3.5,请求转告,他被抓了我我现在找不了他,他被抓了我现在找不了他,4.7,不同意转告,no
1,GHSC,3.5,请求转告,我联系不上啊,我联系不上啊,4.7,不同意转告,no
2,GHSC,3.5,请求转告,哦因为这样她本人不在国内,哦因为这样她本人不在国内,4.7,不同意转告,no
3,RESC,3.5,请求转告,我没办法找到他,我没办法找到他,4.7,不同意转告,no
4,benrenshoucui,3.5,请求转告,我不知道你打他电话,我不知道你打他电话,4.7,不同意转告,no
5,GHSC,3.5,请求转告,他正忙了,他正忙了,4.7,不同意转告,no
6,GHSC,3.5,请求转告,我不知道那我怎么联系他也,我不知道那我怎么联系他也,4.7,不同意转告,no
7,GHSC,3.5,请求转告,不可以,不可以,4.7,不同意转告,no
8,GHSC,3.5,请求转告,他不在国内呀,他不在国内呀,4.7,不同意转告,no
9,RESC,3.5,请求转告,他死了,他死了,4.7,不同意转告,no
10,GHSC,3.5,请求转告,我没他联系电话,我没他联系电话,4.7,不同意转告,no
11,RESC,3.5,请求转告,什么啊我也不懂啊,什么啊我也不懂啊,4.7,不同意转告,no
12,benrenshoucui,3.5,请求转告,联系不上二九,联系不上二九,4.7,不同意转告,no
13,RESC,3.5,请求转告,他要进山了最近没在没,他要进山了最近没在没,4.7,不同意转告,no
14,GHSC,3.5,请求转告,嗯好的谢谢你跟他说吧,嗯好的谢谢你跟他说吧,4.7,不同意转告,no
15,GHSC,3.5,请求转告,怎么联系,怎么联系,4.7,不同意转告,no
16,benrenshoucui,3.5,请求转告,不不是,不不是,4.7,不同意转告,no
17,benrenshoucui,3.5,请求转告,转告不了,转告不了,4.7,不同意转告,no
18,GHSC,3.5,请求转告,我联系不上他,我联系不上他,4.7,不同意转告,no
19,benrenshoucui,3.5,请求转告,他已经被装了,他已经被装了,4.7,不同意转告,no
20,GHSC,3.5,请求转告,我现在也联系不到他呀,我现在也联系不到他呀,4.7,不同意转告,no
21,RESC,3.5,请求转告,我这个电话已经打错了,我这个电话已经打错了,4.7,不同意转告,no
22,GHSC,3.5,请求转告,那您打他的电话吧,那您打他的电话吧,4.7,不同意转告,no
23,GHSC,3.5,请求转告,我现在连不上的没有他电话号码有没有他微信,我现在连不上的没有他电话号码有没有他微信,4.7,不同意转告,no
24,RESC,3.5,请求转告,哦我不认识这个人呢,哦我不认识这个人呢,4.7,不同意转告,no
25,GHSC,3.5,请求转告,我他人高派出所抓住了在看守所,我他人高派出所抓住了在看守所,4.7,不同意转告,no
26,benrenshoucui,3.5,请求转告,你们包括警方那边发来找他吧我找不到他应该上法院起诉吧,你们包括警方那边发来找他吧我找不到他应该上法院起诉吧,4.7,不同意转告,no
27,GHSC,3.5,请求转告,不行啊,不行啊,4.7,不同意转告,no
28,GHSC,3.5,请求转告,联系不到他,联系不到他,4.7,不同意转告,no
29,GHSC,3.5,请求转告,啊我没在家,啊我没在家,4.7,不同意转告,no
30,GHSC,3.5,请求转告,我给你他的电话号码好吗,我给你他的电话号码好吗,4.7,不同意转告,no
31,RESC,3.5,请求转告,我不认识他我怎么转转,我不认识他我怎么转转,4.7,不同意转告,no
32,GHSC,3.5,请求转告,啊我联系不上了,啊我联系不上了,4.7,不同意转告,no
33,GHSC,3.5,请求转告,那他不是我我说我也不知道他在哪里你老是查我电话,那他不是我说我也不知道他在哪里你老是查我电话,4.7,不同意转告,no
34,GHSC,3.5,请求转告,啊现在已经已经不再联系不上,啊现在已经不再联系不上,4.7,不同意转告,no
35,GHSC,3.5,请求转告,已经人都没了怎么联系,已经人都没了怎么联系,4.7,不同意转告,no
36,RESC,3.5,请求转告,这个他手机应该不用了我就重新办的号码我跟这人联系不上,这个他手机应该不用了我就重新办的号码我跟这人联系不上,4.7,不同意转告,no
37,RESC,3.5,请求转告,我不认识他这是不是把他的号是我的号,我不认识他这是不是把他的号是我的号,4.7,不同意转告,no
38,GHSC,3.5,请求转告,跟我没关系啊,跟我没关系啊,4.7,不同意转告,no
39,RESC,3.5,请求转告,他去世了,他去世了,4.7,不同意转告,no
40,RESC,3.5,请求转告,这怎么说,这怎么说,4.7,不同意转告,no
41,GHSC,3.5,请求转告,哦我在国外联系不上他,哦我在国外联系不上他,4.7,不同意转告,no
42,benrenshoucui,3.5,请求转告,我都没他联系方式啊,我都没他联系方式啊,4.7,不同意转告,no
43,GHSC,3.5,请求转告,她转告不了他他被人说这间啊,她转告不了他被人说这间啊,4.7,不同意转告,no
44,GHSC,3.5,请求转告,哦他好久没见了,哦他好久没见了,4.7,不同意转告,no
45,benrenshoucui,3.5,请求转告,我不要,我不要,4.7,不同意转告,no
46,benrenshoucui,3.5,请求转告,嗯嗯我会告诉他得下午回来我告诉他吧好吧,嗯我会告诉他得下午回来我告诉他吧好吧,4.6,同意转告,yes
47,benrenshoucui,3.5,请求转告,哦哦好我知道给我告诉他,哦好我知道给我告诉他,4.6,同意转告,yes
48,RESC,3.5,请求转告,啊行我转告一下唐,啊行我转告一下唐,4.6,同意转告,yes
49,GHSC,3.5,请求转告,哦行行你你给我发个短信我给他那个转发过去,哦行行你给我发个短信我给他那个转发过去,4.6,同意转告,yes
50,GHSC,3.5,请求转告,哦好的好的我转告他一下,哦好的我转告他一下,4.6,同意转告,yes
51,GHSC,3.5,请求转告,所以我帮你转告一下吧啊,所以我帮你转告一下吧啊,4.6,同意转告,yes
52,RESC,3.5,请求转告,我也跟他说了,我也跟他说了,4.6,同意转告,yes
53,GHSC,3.5,请求转告,哦好我跟她说了她知道那是不是就被,哦好我跟她说了她知道那是不是就被,4.6,同意转告,yes
54,df,3.5,请求转告,哦行行行今天下午他就给了,哦行行行今天下午他就给了,4.6,同意转告,yes
55,GHSC,3.5,请求转告,嗯什么也晚上我跟他说,嗯什么也晚上我跟他说,4.6,同意转告,yes
56,GHSC,3.5,请求转告,知道了会转到,知道了会转到,4.6,同意转告,yes
57,df,3.5,请求转告,嗯嗯其他知道,嗯其他知道,4.6,同意转告,yes
58,df,3.5,请求转告,啊他说没早上去交,啊他说没早上去交,4.6,同意转告,yes
59,GHSC,3.5,请求转告,你是跟我说就可以他出去了一会能回来,你是跟我说就可以他出去了一会能回来,4.6,同意转告,yes
60,GHSC,3.5,请求转告,啊就在我身边呢,啊就在我身边呢,4.6,同意转告,yes
61,GHSC,3.5,请求转告,到目前我跟他说一下,到目前我跟他说一下,4.6,同意转告,yes
62,GHSC,3.5,请求转告,哦哦转告他一下,哦转告他一下,4.6,同意转告,yes
63,benrenshoucui,3.5,请求转告,啊好的我告诉他了嗯,啊好的我告诉他了嗯,4.6,同意转告,yes
64,GHSC,3.5,请求转告,好那行我来跟他说我看一下发短信,好那行我来跟他说我看一下发短信,4.6,同意转告,yes
65,GHSC,3.5,请求转告,啊什么事说呗,啊什么事说呗,4.6,同意转告,yes
66,benrenshoucui,3.5,请求转告,啊可以的我可以转告,啊可以的我可以转告,4.6,同意转告,yes
67,RESC,3.5,请求转告,哦跟他说一下,哦跟他说一下,4.6,同意转告,yes
68,benrenshoucui,3.5,请求转告,等着晚上回来我告诉他我不知道,等着晚上回来我告诉他我不知道,4.6,同意转告,yes
69,GHSC,3.5,请求转告,好的我帮你转告哈,好的我帮你转告哈,4.6,同意转告,yes
70,RESC,3.5,请求转告,同学间我给他说一下,同学间我给他说一下,4.6,同意转告,yes
71,benrenshoucui,3.5,请求转告,好知道了行,好知道了行,4.6,同意转告,yes
72,RESC,3.5,请求转告,你告诉他我我也转告他的,你告诉他我也转告他的,4.6,同意转告,yes
73,GHSC,3.5,请求转告,你有什么事,你有什么事,4.6,同意转告,yes
74,benrenshoucui,3.5,请求转告,啊我会找到他的因为它是得下午才回来他手机我贷,啊我会找到他的因为它是得下午才回来他手机我贷,4.6,同意转告,yes
75,GHSC,3.5,请求转告,有什么事,有什么事,4.6,同意转告,yes
76,GHSC,3.5,请求转告,哦你说吧啥时候给转达,哦你说吧啥时候给转达,4.6,同意转告,yes
77,GHSC,3.5,请求转告,我我我告诉他了但是他现在在国外,我告诉他了但是他现在在国外,4.6,同意转告,yes
78,GHSC,3.5,请求转告,好我跟他说,好我跟他说,4.6,同意转告,yes
79,GHSC,3.5,请求转告,好的我我转到他的,好的我转到他的,4.6,同意转告,yes
80,benrenshoucui,3.5,请求转告,哦好的不过他被抓起来了怎么办,哦好的不过他被抓起来了怎么办,4.6,同意转告,yes
81,df,3.5,请求转告,嗯嗯我知道我等一下我给他说一下好啦好啦,嗯我知道我等一下我给他说一下好啦好啦,4.6,同意转告,yes
82,GHSC,3.5,请求转告,现在我告诉他一下,现在我告诉他一下,4.6,同意转告,yes
83,GHSC,3.5,请求转告,嗯帮我跟他说,嗯帮我跟他说,4.6,同意转告,yes
84,df,3.5,请求转告,可以可以可以好好好的好的等一下我就转告他哈,可以好好好的等一下我就转告他哈,4.6,同意转告,yes
85,benrenshoucui,3.5,请求转告,恩好好帮你转入了一,恩好好帮你转入了一,4.6,同意转告,yes
86,GHSC,3.5,请求转告,嗯你说,嗯你说,4.6,同意转告,yes
87,df,3.5,请求转告,啊我知道我跟她讲呀啊,啊我知道我跟她讲呀啊,4.6,同意转告,yes
88,GHSC,3.5,请求转告,哦哦哦好的那这样好像谢谢好我问一下,哦哦哦好的那这样好像谢谢好我问一下,4.6,同意转告,yes
89,GHSC,3.5,请求转告,我联系一下他,我联系一下他,4.6,同意转告,yes
90,GHSC,3.5,请求转告,好的好的我帮你转告一下,好的我帮你转告一下,4.6,同意转告,yes
91,benrenshoucui,3.5,请求转告,那说吧等我啊,那说吧等我啊,4.6,同意转告,yes
92,benrenshoucui,3.5,请求转告,唉变卖你说有什么说,唉变卖你说有什么说,4.6,同意转告,yes
93,GHSC,3.5,请求转告,你好我明天打吧我好久没人,你好我明天打吧我好久没人,4.6,同意转告,yes
94,benrenshoucui,3.5,请求转告,搞我知道了,搞我知道了,4.6,同意转告,yes
95,benrenshoucui,3.5,请求转告,好的好的我一会转告他啊,好的我一会转告他啊,4.6,同意转告,yes
96,benrenshoucui,3.5,请求转告,型我现在联系不到他把这,型我现在联系不到他把这,4.6,同意转告,yes
97,benrenshoucui,3.5,请求转告,他明天或者后天回来再告知他可以吗,他明天或者后天回来再告知他可以吗,4.6,同意转告,yes
98,GHSC,3.5,请求转告,等一下他来了我再告诉他,等一下他来了我再告诉他,4.6,同意转告,yes
99,GHSC,3.5,请求转告,信用卡中行有什么事,信用卡中行有什么事,4.6,同意转告,yes
100,benrenshoucui,3.5,请求转告,嗯我已经给他说了他今天处理,嗯我已经给他说了他今天处理,4.6,同意转告,yes
101,df,3.5,请求转告,哎呀我跟他说好吧,哎呀我跟他说好吧,4.6,同意转告,yes
102,GHSC,3.5,请求转告,哦因为我错了啊好我跟他讲一下,哦因为我错了啊好我跟他讲一下,4.6,同意转告,yes
103,GHSC,3.5,请求转告,转告,转告,4.6,同意转告,yes
