id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
0,RESC,4.2,询问明日能否还款,要不然不行要到星期一可以吗,要不然不行要到星期一可以吗,5.4,不同意明日还款,no
1,RESC,4.2,询问明日能否还款,要下个月,要下个月,5.4,不同意明日还款,no
2,df,4.2,询问明日能否还款,六六排十号,六六排十号,5.4,不同意明日还款,no
3,benrenshoucui,4.2,询问明日能否还款,明天不行,明天不行,5.4,不同意明日还款,no
4,GHSC,4.2,询问明日能否还款,最近的处理不了因为我现在,最近的处理不了因为我现在,5.4,不同意明日还款,no
5,RESC,4.2,询问明日能否还款,对自己像是不行要还了要是能处理我早就换了我就是就是资金出了问题,对自己像是不行要还了要是能处理我早就换了我就是资金出了问题,5.4,不同意明日还款,no
6,GHSC,4.2,询问明日能否还款,八月十号之前,八月十号之前,5.4,不同意明日还款,no
7,benrenshoucui,4.2,询问明日能否还款,明天不知道那个钱能不能到账啊反正我我就两三天吧,明天不知道那个钱能不能到账啊反正我就两三天吧,5.4,不同意明日还款,no
8,RESC,4.2,询问明日能否还款,也不能要到下个月,也不能要到下个月,5.4,不同意明日还款,no
9,RESC,4.2,询问明日能否还款,我知道逾期会发生但是我现在没钱,我知道逾期会发生但是我现在没钱,5.4,不同意明日还款,no
10,GHSC,4.2,询问明日能否还款,处理不了我现在没有钱分配三个都生活不下去,处理不了我现在没有钱分配三个都生活不下去,5.4,不同意明日还款,no
11,benrenshoucui,4.2,询问明日能否还款,哦知道我要明天明天才行,哦知道我要明天才行,5.4,不同意明日还款,no
12,df,4.2,询问明日能否还款,等到十五号发工资还十五号发工资还啊,等到十五号发工资还十五号发工资还啊,5.4,不同意明日还款,no
13,df,4.2,询问明日能否还款,嗯明天还没有大概要一周之后我才能够判定下一周我现在家里车的状况,嗯明天还没有大概要一周之后我才能够判定下一周我现在家里车的状况,5.4,不同意明日还款,no
14,RESC,4.2,询问明日能否还款,明天不行要,明天不行要,5.4,不同意明日还款,no
15,benrenshoucui,4.2,询问明日能否还款,嗯明天估计也不能,嗯明天估计也不能,5.4,不同意明日还款,no
16,RESC,4.2,询问明日能否还款,现在还不上我现在资金不够没钱没公司,现在还不上我现在资金不够没钱没公司,5.4,不同意明日还款,no
