id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
0,benrenshoucui,2.2,询问是否认识借款人,嗯不是我是他他照顾,嗯不是我是他照顾,3.5,关联人,yes
1,benrenshoucui,2.2,询问是否认识借款人,我认识,我认识,3.5,关联人,yes
2,benrenshoucui,2.2,询问是否认识借款人,那个王先生在手术室正在手术那个他的手机现在在我手里,那个王先生在手术室正在手术那个他的手机现在在我手里,3.5,关联人,yes
3,benrenshoucui,2.2,询问是否认识借款人,你找他干嘛呀,你找他干嘛呀,3.5,关联人,yes
4,GHSC,2.2,询问是否认识借款人,我肯定认识啊他是哪个银行卡,我肯定认识啊他是哪个银行卡,3.5,关联人,yes
5,GHSC,2.2,询问是否认识借款人,我是他大哥了有什么事你说我,我是他大哥了有什么事你说我,3.5,关联人,yes
6,GHSC,2.2,询问是否认识借款人,我也认识,我也认识,3.5,关联人,yes
7,benrenshoucui,2.2,询问是否认识借款人,认识他让他但是我我们现在,认识他让他但是我我们现在,3.5,关联人,yes
8,GHSC,2.2,询问是否认识借款人,哦我是她老公你出来,哦我是她老公你出来,3.5,关联人,yes
9,GHSC,2.2,询问是否认识借款人,好的我老婆你什么事你说啊,好的我老婆你什么事你说啊,3.5,关联人,yes
10,GHSC,2.2,询问是否认识借款人,啊认识的是什么,啊认识的是什么,3.5,关联人,yes
11,GHSC,2.2,询问是否认识借款人,永认识你说怎么了,永认识你说怎么了,3.5,关联人,yes
12,df,2.2,询问是否认识借款人,啊我是她老公我现在账户,啊我是她老公我现在账户,3.5,关联人,yes
13,benrenshoucui,2.2,询问是否认识借款人,哎我是她老公,哎我是她老公,3.5,关联人,yes
14,GHSC,2.2,询问是否认识借款人,我妈在楼上,我妈在楼上,3.5,关联人,yes
15,RESC,2.2,询问是否认识借款人,啊不是不是我说他母亲怎么了,啊不是我说他母亲怎么了,3.5,关联人,yes
16,GHSC,2.2,询问是否认识借款人,那他是我们老板,那他是我们老板,3.5,关联人,yes
17,df,2.2,询问是否认识借款人,他现在不在有什么事吗,他现在不在有什么事吗,3.5,关联人,yes
18,GHSC,2.2,询问是否认识借款人,认识我这个媳妇儿,认识我这个媳妇儿,3.5,关联人,yes
19,GHSC,2.2,询问是否认识借款人,我认识他他手机放在门面的里他现在不在这里,我认识他手机放在门面的里他现在不在这里,3.5,关联人,yes
20,GHSC,2.2,询问是否认识借款人,认识你说有什么,认识你说有什么,3.5,关联人,yes
21,RESC,2.2,询问是否认识借款人,我会尽快转告我的老板的大概,我会尽快转告我的老板的大概,3.5,关联人,yes
22,benrenshoucui,2.2,询问是否认识借款人,她知道,她知道,3.5,关联人,yes
