id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
0,benrenshoucui,3.4,二次确认,今天没有钱呀今天不行,今天没有钱呀今天不行,4.4,不同意今日还款,yes
1,benrenshoucui,3.4,二次确认,今天出不了我,今天出不了我,4.4,不同意今日还款,yes
2,benrenshoucui,3.4,二次确认,哦忘了六我卡里面还是没钱了,哦忘了六我卡里面还是没钱了,4.4,不同意今日还款,yes
3,df,3.4,二次确认,嗯好的稍微稍微晚一点吧我,嗯好的稍微晚一点吧我,4.4,不同意今日还款,yes
4,benrenshoucui,3.4,二次确认,今天不一定能还上,今天不一定能还上,4.4,不同意今日还款,yes
5,benrenshoucui,3.4,二次确认,哦哦我知道了知道我我这两天处理好了,哦我知道了知道我这两天处理好了,4.4,不同意今日还款,yes
6,RESC,3.4,二次确认,我尽快月底之前好像啊,我尽快月底之前好像啊,4.4,不同意今日还款,yes
7,RESC,3.4,二次确认,不能处理今天,不能处理今天,4.4,不同意今日还款,yes
8,benrenshoucui,3.4,二次确认,嗯今天不,嗯今天不,4.4,不同意今日还款,yes
9,RESC,3.4,二次确认,今天处理不了了,今天处理不了了,4.4,不同意今日还款,yes
10,benrenshoucui,3.4,二次确认,恩好知道了嗯明天你下班之前可以,恩好知道了嗯明天你下班之前可以,4.4,不同意今日还款,yes
11,benrenshoucui,3.4,二次确认,明天明天还了,明天还了,4.4,不同意今日还款,yes
12,benrenshoucui,3.4,二次确认,啊今天去不了要礼拜六明天后天,啊今天去不了要礼拜六明天后天,4.4,不同意今日还款,yes
13,RESC,3.4,二次确认,哎可能不能来这到下个月啊,哎可能不能来这到下个月啊,4.4,不同意今日还款,yes
14,RESC,3.4,二次确认,今天出了不了,今天出了不了,4.4,不同意今日还款,yes
15,benrenshoucui,3.4,二次确认,我不还,我不还,4.4,不同意今日还款,yes
16,benrenshoucui,3.4,二次确认,啊今天应该不行,啊今天应该不行,4.4,不同意今日还款,yes
17,benrenshoucui,3.4,二次确认,呃今天没钱,呃今天没钱,4.4,不同意今日还款,yes
18,benrenshoucui,3.4,二次确认,啊今天处理不了你们,啊今天处理不了你们,4.4,不同意今日还款,yes
19,benrenshoucui,3.4,二次确认,啊我知道但是操作不了现在,啊我知道但是操作不了现在,4.4,不同意今日还款,yes
20,benrenshoucui,3.4,二次确认,零天吗这两天忙没时间,零天吗这两天忙没时间,4.4,不同意今日还款,yes
21,df,3.4,二次确认,哦哦今天才知道你现你现在扣吗现在我班都还不了我都我里面昨天太忙了嗯都没存钱嘛,哦今天才知道你现你现在扣吗现在我班都还不了我都我里面昨天太忙了嗯都没存钱嘛,4.4,不同意今日还款,yes
22,benrenshoucui,3.4,二次确认,现在这两这两天就还上了,现在这两这两天就还上了,4.4,不同意今日还款,yes
23,benrenshoucui,3.4,二次确认,今天可能不行呢给点时间好不好,今天可能不行呢给点时间好不好,4.4,不同意今日还款,yes
