id,processid,in_node,type_robot,msg,msg_del_dup,out_true,type,type_combine
0,benrenshoucui,3.2,询问今日能否还款,今天没有钱呀今天不行,今天没有钱呀今天不行,5.6,不同意今日还款,no
1,benrenshoucui,3.2,询问今日能否还款,今天出不了我,今天出不了我,5.6,不同意今日还款,no
2,benrenshoucui,3.2,询问今日能否还款,哦忘了六我卡里面还是没钱了,哦忘了六我卡里面还是没钱了,5.6,不同意今日还款,no
3,df,3.2,询问今日能否还款,嗯好的稍微稍微晚一点吧我,嗯好的稍微晚一点吧我,5.6,不同意今日还款,no
4,benrenshoucui,3.2,询问今日能否还款,今天不一定能还上,今天不一定能还上,5.6,不同意今日还款,no
5,benrenshoucui,3.2,询问今日能否还款,哦哦我知道了知道我我这两天处理好了,哦我知道了知道我这两天处理好了,5.6,不同意今日还款,no
6,RESC,3.2,询问今日能否还款,我尽快月底之前好像啊,我尽快月底之前好像啊,5.6,不同意今日还款,no
7,RESC,3.2,询问今日能否还款,不能处理今天,不能处理今天,5.6,不同意今日还款,no
8,benrenshoucui,3.2,询问今日能否还款,嗯今天不,嗯今天不,5.6,不同意今日还款,no
9,RESC,3.2,询问今日能否还款,今天处理不了了,今天处理不了了,5.6,不同意今日还款,no
10,benrenshoucui,3.2,询问今日能否还款,恩好知道了嗯明天你下班之前可以,恩好知道了嗯明天你下班之前可以,5.6,不同意今日还款,no
11,benrenshoucui,3.2,询问今日能否还款,明天明天还了,明天还了,5.6,不同意今日还款,no
12,benrenshoucui,3.2,询问今日能否还款,啊今天去不了要礼拜六明天后天,啊今天去不了要礼拜六明天后天,5.6,不同意今日还款,no
13,RESC,3.2,询问今日能否还款,哎可能不能来这到下个月啊,哎可能不能来这到下个月啊,5.6,不同意今日还款,no
14,RESC,3.2,询问今日能否还款,今天出了不了,今天出了不了,5.6,不同意今日还款,no
15,benrenshoucui,3.2,询问今日能否还款,我不还,我不还,5.6,不同意今日还款,no
16,benrenshoucui,3.2,询问今日能否还款,啊今天应该不行,啊今天应该不行,5.6,不同意今日还款,no
17,benrenshoucui,3.2,询问今日能否还款,呃今天没钱,呃今天没钱,5.6,不同意今日还款,no
18,benrenshoucui,3.2,询问今日能否还款,啊今天处理不了你们,啊今天处理不了你们,5.6,不同意今日还款,no
19,benrenshoucui,3.2,询问今日能否还款,啊我知道但是操作不了现在,啊我知道但是操作不了现在,5.6,不同意今日还款,no
20,benrenshoucui,3.2,询问今日能否还款,零天吗这两天忙没时间,零天吗这两天忙没时间,5.6,不同意今日还款,no
21,df,3.2,询问今日能否还款,哦哦今天才知道你现你现在扣吗现在我班都还不了我都我里面昨天太忙了嗯都没存钱嘛,哦今天才知道你现你现在扣吗现在我班都还不了我都我里面昨天太忙了嗯都没存钱嘛,5.6,不同意今日还款,no
22,benrenshoucui,3.2,询问今日能否还款,现在这两这两天就还上了,现在这两这两天就还上了,5.6,不同意今日还款,no
23,benrenshoucui,3.2,询问今日能否还款,今天可能不行呢给点时间好不好,今天可能不行呢给点时间好不好,5.6,不同意今日还款,no
24,df,3.2,询问今日能否还款,我今天本来我今天身份证弄丢了明天今天星期天我身份证办理不了,我今天本来我今天身份证弄丢了明天今天星期天我身份证办理不了,5.6,不同意今日还款,no
25,benrenshoucui,3.2,询问今日能否还款,玩不了,玩不了,5.6,不同意今日还款,no
26,df,3.2,询问今日能否还款,我知道啊但是我每个月都是十五号十五号才打工资我十五号才给可以给你啊,我知道啊但是我每个月都是十五号才打工资我十五号才给可以给你啊,5.6,不同意今日还款,no
27,df,3.2,询问今日能否还款,这周吧,这周吧,5.6,不同意今日还款,no
